11AS_B	11AS_A
12AS_B	12AS_A
19HC_B	19HC_A
1A02_F	1A02_J
1A02_F	1A02_N
1A02_J	1A02_F
1A02_J	1A02_N
1A03_A	1A03_B
1A04_B	1A04_A
1A05_B	1A05_A
1A0A_A	1A0A_B
1A0C_C	1A0C_A
1A0C_C	1A0C_B
1A0C_C	1A0C_D
1A0D_C	1A0D_A
1A0D_C	1A0D_B
1A0D_C	1A0D_D
1A0E_D	1A0E_A
1A0F_B	1A0F_A
1A0H_D	1A0H_A
1A0H_D	1A0H_B
1A0H_D	1A0H_E
1A0O_B	1A0O_A
1A0O_B	1A0O_C
1A0O_B	1A0O_D
1A0O_B	1A0O_E
1A0O_B	1A0O_F
1A0O_B	1A0O_G
1A0O_B	1A0O_H
1A0R_G	1A0R_B
1A0R_G	1A0R_P
1A0R_P	1A0R_B
1A0R_P	1A0R_G
1A0S_P	1A0S_Q
1A0S_P	1A0S_R
1A0T_R	1A0T_P
1A0T_R	1A0T_Q
1A12_C	1A12_A
1A12_C	1A12_B
1A25_A	1A25_B
1A2O_B	1A2O_A
1A2P_A	1A2P_B
1A2P_A	1A2P_C
1A2V_C	1A2V_A
1A2V_C	1A2V_B
1A2V_C	1A2V_D
1A2V_C	1A2V_E
1A2V_C	1A2V_F
1A2X_B	1A2X_A
1A2Y_B	1A2Y_A
1A2Y_B	1A2Y_C
1A2Z_C	1A2Z_A
1A2Z_C	1A2Z_B
1A2Z_C	1A2Z_D
1A3A_B	1A3A_A
1A3A_B	1A3A_C
1A3A_B	1A3A_D
1A3A_C	1A3A_A
1A3A_C	1A3A_B
1A3A_C	1A3A_D
1A3Q_A	1A3Q_B
1A3W_A	1A3W_B
1A3X_A	1A3X_B
1A3Y_A	1A3Y_B
1A4E_A	1A4E_B
1A4E_A	1A4E_C
1A4E_A	1A4E_D
1A4I_B	1A4I_A
1A4K_B	1A4K_A
1A4K_B	1A4K_H
1A4K_B	1A4K_L
1A4L_A	1A4L_B
1A4L_A	1A4L_C
1A4L_A	1A4L_D
1A4P_A	1A4P_B
1A4S_A	1A4S_B
1A4S_A	1A4S_C
1A4S_A	1A4S_D
1A4U_B	1A4U_A
1A5H_B	1A5H_A
1A5H_B	1A5H_C
1A5H_B	1A5H_D
1A5L_B	1A5L_A
1A5L_B	1A5L_C
1A64_B	1A64_A
1A6D_A	1A6D_B
1A6D_B	1A6D_A
1A6E_A	1A6E_B
1A6E_B	1A6E_A
1A6J_A	1A6J_B
1A6J_B	1A6J_A
1A6P_B	1A6P_A
1A6Y_A	1A6Y_B
1A6Y_B	1A6Y_A
1A6Z_C	1A6Z_A
1A6Z_C	1A6Z_B
1A6Z_C	1A6Z_D
1A73_A	1A73_B
1A78_B	1A78_A
1A79_B	1A79_A
1A79_B	1A79_C
1A79_B	1A79_D
1A7H_A	1A7H_B
1A7U_A	1A7U_B
1A7V_A	1A7V_B
1A81_G	1A81_A
1A81_G	1A81_B
1A81_G	1A81_C
1A81_G	1A81_D
1A81_G	1A81_E
1A81_G	1A81_F
1A81_G	1A81_H
1A81_G	1A81_I
1A81_G	1A81_J
1A81_G	1A81_K
1A81_G	1A81_L
1A81_I	1A81_A
1A81_I	1A81_B
1A81_I	1A81_C
1A81_I	1A81_D
1A81_I	1A81_E
1A81_I	1A81_F
1A81_I	1A81_G
1A81_I	1A81_H
1A81_I	1A81_J
1A81_I	1A81_K
1A81_I	1A81_L
1A88_A	1A88_B
1A88_A	1A88_C
1A8R_M	1A8R_A
1A8R_M	1A8R_B
1A8R_M	1A8R_C
1A8R_M	1A8R_D
1A8R_M	1A8R_E
1A8R_M	1A8R_F
1A8R_M	1A8R_G
1A8R_M	1A8R_H
1A8R_M	1A8R_I
1A8R_M	1A8R_J
1A8R_M	1A8R_K
1A8R_M	1A8R_L
1A8R_M	1A8R_N
1A8R_M	1A8R_O
1A92_A	1A92_B
1A92_A	1A92_C
1A92_A	1A92_D
1A93_B	1A93_A
1A97_C	1A97_A
1A97_C	1A97_B
1A97_C	1A97_D
1A99_B	1A99_A
1A99_B	1A99_C
1A99_B	1A99_D
1A9N_C	1A9N_A
1A9N_C	1A9N_B
1A9N_C	1A9N_D
1A9X_G	1A9X_A
1A9X_G	1A9X_B
1A9X_G	1A9X_C
1A9X_G	1A9X_D
1A9X_G	1A9X_E
1A9X_G	1A9X_F
1A9X_G	1A9X_H
1A9X_H	1A9X_A
1A9X_H	1A9X_B
1A9X_H	1A9X_C
1A9X_H	1A9X_D
1A9X_H	1A9X_E
1A9X_H	1A9X_F
1A9X_H	1A9X_G
1AA7_A	1AA7_B
1AAP_A	1AAP_B
1AB8_B	1AB8_A
1ABR_A	1ABR_B
1ABR_B	1ABR_A
1AD1_A	1AD1_B
1AD3_A	1AD3_B
1AD5_B	1AD5_A
1AD9_B	1AD9_A
1AD9_B	1AD9_H
1AD9_B	1AD9_L
1ADJ_A	1ADJ_B
1ADJ_A	1ADJ_C
1ADJ_A	1ADJ_D
1ADQ_A	1ADQ_H
1ADQ_A	1ADQ_L
1AE1_A	1AE1_B
1AE1_B	1AE1_A
1AE8_L	1AE8_H
1AE8_L	1AE8_I
1AE9_A	1AE9_B
1AE9_B	1AE9_A
1AEI_D	1AEI_A
1AEI_D	1AEI_B
1AEI_D	1AEI_C
1AEI_D	1AEI_E
1AEI_D	1AEI_F
1AF6_B	1AF6_A
1AF6_B	1AF6_C
1AFO_A	1AFO_B
1AFQ_B	1AFQ_A
1AFQ_B	1AFQ_C
1AFQ_C	1AFQ_A
1AFQ_C	1AFQ_B
1AFR_C	1AFR_A
1AFR_C	1AFR_B
1AFR_C	1AFR_D
1AFR_C	1AFR_E
1AFR_C	1AFR_F
1AFS_B	1AFS_A
1AFW_A	1AFW_B
1AFW_B	1AFW_A
1AG9_A	1AG9_B
1AGJ_A	1AGJ_B
1AGQ_C	1AGQ_A
1AGQ_C	1AGQ_B
1AGQ_C	1AGQ_D
1AGR_E	1AGR_A
1AGR_E	1AGR_D
1AGR_E	1AGR_H
1AHI_B	1AHI_A
1AHS_A	1AHS_B
1AHS_A	1AHS_C
1AHV_B	1AHV_A
1AIF_B	1AIF_A
1AIF_B	1AIF_H
1AIF_B	1AIF_L
1AIH_D	1AIH_A
1AIH_D	1AIH_B
1AIH_D	1AIH_C
1AIP_G	1AIP_A
1AIP_G	1AIP_B
1AIP_G	1AIP_C
