#     Complex Template           SpringScore LenAligned  Dfire  Coverage SeqidA TMscoreA ZscoreA ProbabilityA EvauleA SeqidB TMscoreB ZscoreB ProbabilityB EvauleB
1     11asA/1_0_0-11asA/1_1_1         32.482        654 31.595     1.000  1.000    0.998 154.959 100.000    1.1e-155   1.000  0.995   154.959 100.000    1.1e-155
2     3m4pC/2_0_0-3m4pC/2_1_1         13.592        555 40.194     0.849  0.239    0.750  23.081 99.920     8.3e-24   0.239  0.753    23.081  99.920     8.3e-24
3     1wydA/1_0_0-1wydA/1_1_1         13.403        559 39.236     0.855  0.232    0.772  22.921 99.930     1.2e-23   0.235  0.774    22.921  99.930     1.2e-23
4     1nnhA/2_0_0-1nnhA/2_1_1         13.388        550 39.103     0.841  0.177    0.745  23.347 99.940     4.5e-24   0.177  0.745    23.347  99.940     4.5e-24
5     1b8aA/1_0_0-1b8aA/1_1_1         13.099        570 38.081     0.872  0.251    0.776  22.523 99.920       3e-23   0.251  0.776    22.523  99.920       3e-23
6     2xtiA/1_0_0-2xtiA/1_1_1         12.952        565 37.601     0.864  0.245    0.767  22.456 99.920     3.5e-23   0.248  0.758    22.456  99.920     3.5e-23
7     1x54A/1_0_0-1x54A/1_1_1         12.944        570 37.288     0.872  0.245    0.769  22.699 99.920       2e-23   0.245  0.769    22.699  99.920       2e-23
8     3a5yA/1_0_0-3a5yA/1_1_1         12.885        534 39.345     0.817  0.180    0.706  20.201 99.890     6.3e-21   0.180  0.711    20.201  99.890     6.3e-21
9     2xgtA/1_0_0-2xgtA/1_1_1         12.730        568 36.167     0.869  0.248    0.766  22.921 99.930     1.2e-23   0.251  0.769    22.921  99.930     1.2e-23
10    1asyA/1_0_2-1asyA/1_1_3         12.301        568 35.509     0.869  0.248    0.780  20.886 99.900     1.3e-21   0.248  0.780    20.886  99.900     1.3e-21
11    3i7fA/1_0_0-3i7fA/1_1_1         11.578        531 32.794     0.812  0.245    0.726  20.678 99.890     2.1e-21   0.245  0.722    20.678  99.890     2.1e-21
12    1e1oA/1_0_0-1e1oA/1_1_1         11.371        544 32.205     0.832  0.266    0.748  19.854 99.870     1.4e-20   0.266  0.748    19.854  99.870     1.4e-20
13    3a74A/1_0_0-3a74A/1_1_1         10.929        546 30.334     0.835  0.263    0.760  19.456 99.870     3.5e-20   0.263  0.760    19.456  99.870     3.5e-20
14    3bjuA/1_0_0-3bjuA/1_1_1         10.720        548 28.673     0.838  0.245    0.762  20.444 99.890     3.6e-21   0.239  0.758    20.444  99.890     3.6e-21
15    1eqrA/1_0_0-1eqrA/1_1_3         10.586        558 29.784     0.853  0.269    0.769  17.886 99.820     1.3e-18   0.269  0.769    17.886  99.820     1.3e-18
16    4ex5A/1_0_0-4ex5A/1_1_1         10.566        546 28.715     0.835  0.291    0.752  19.456 99.870     3.5e-20   0.291  0.753    19.456  99.870     3.5e-20
17    1g51A/1_0_0-1g51A/1_1_1         10.232        560 27.631     0.856  0.291    0.765  18.658 99.850     2.2e-19   0.291  0.764    18.658  99.850     2.2e-19
18    1n9wA/1_0_0-1n9wA/1_1_1          8.615        469 20.974     0.717  0.211    0.630  19.097 99.850       8e-20   0.242  0.628    19.097  99.850       8e-20
19    3bjuB/1_0_1-3bjuB/1_1_3          4.544        547  0.000     0.836  0.239    0.758  20.444 99.890     3.6e-21   0.245  0.760    20.444  99.890     3.6e-21
20    1eqrA/1_0_0-1eqrA/1_1_2          4.164        557  0.000     0.852  0.269    0.769  17.886 99.820     1.3e-18   0.269  0.765    17.886  99.820     1.3e-18
21    1eqrC/1_0_2-1eqrC/1_1_3          4.164        557  0.000     0.852  0.269    0.765  17.886 99.820     1.3e-18   0.269  0.769    17.886  99.820     1.3e-18
DONE
