b0020_b3762 :1 b0020 b3762 :2 1     b0020           b3762           1uthA/1_0_0     1uthA/1_1_1           15.8       44.1       0.64        180         9%
b0033_b2023 :1 b0033 b2023 :2 1     b0033           b2023           1t36A/1_0_0     1t36A/1_1_6            6.4       16.5       0.40         73        63%
b0035_b3279 :1 b0035 b3279 :2 1     b0035           b3279           2fkoA/1_0_2     2fkoA/1_0_1           14.1       35.9       0.94        150        40%
b0046_b0937 :1 b0046 b0937 :2 1     b0046           b0937           3gfqA/1_0_0     3gfqA/1_1_1           11.3       29.7       0.63        127        19%
b0064_b0300 :1 b0064 b0300 :2 1     b0064           b0300           3lsgA/0_0_0     3lsgA/0_1_1            7.7       18.7       0.60         99        22%
b0064_b3569 :1 b0064 b3569 :2 1     b0064           b3569           3lsgA/0_0_0     3lsgA/0_1_1            7.4       17.7       0.60         97        22%
b0066_b0653 :1 b0066 b0653 :2 1     b0066           b0653           3d31A/1_0_0     3d31A/1_1_2            9.0       21.9       0.69        103        35%
b0066_b0810 :1 b0066 b0810 :2 1     b0066           b0810           3tuzA/0_0_0     3tuzA/0_1_2            9.3       22.2       0.75        113        30%
b0066_b0934 :1 b0066 b0934 :2 1     b0066           b0934           3d31A/1_0_0     3d31A/1_1_2            8.9       21.7       0.69        103        36%
b0067_b0653 :1 b0067 b0653 :2 1     b0067           b0653           2onkC/1_0_2     2onkC/1_1_3           28.2       82.0       0.83        246        18%
b0067_b0810 :1 b0067 b0810 :2 1     b0067           b0810           2onkC/1_0_2     2onkC/1_1_3           27.2       80.1       0.70        239        17%
b0067_b0934 :1 b0067 b0934 :2 1     b0067           b0934           2onkC/1_0_2     2onkC/1_1_3           28.5       83.4       0.79        239        19%
b0067_b3727 :1 b0067 b3727 :2 1     b0067           b3727           2onkC/1_0_2     2onkC/1_1_3           34.8      104.0       0.73        262        21%
b0067_b4033 :1 b0067 b4033 :2 1     b0067           b4033           3puxF/1_0_1     3puxF/1_1_2           28.9       85.9       0.66        241        15%
b0104_b3212 :1 b0104 b3212 :2 1     b0104           b3212           3b04A/1_0_0     3b04A/1_1_1           12.7       34.0       0.66        159        19%
b0104_b3260 :1 b0104 b3260 :2 1     b0104           b3260           4ff0A/3_0_4     4ff0A/3_1_7            6.7       18.2       0.34        163        33%
b0112_b2796 :1 b0112 b2796 :2 1     b0112           b2796           3lrbA/1_0_0     3lrbA/1_1_1            6.1       16.0       0.34        157        14%
b0127_b0653 :1 b0127 b0653 :2 1     b0127           b0653           3tuiC/1_0_2     3tuiC/1_1_0           10.1       25.2       0.70        114        31%
b0127_b0810 :1 b0127 b0810 :2 1     b0127           b0810           3tuzC/1_0_3     3tuzC/1_1_0           10.9       26.2       0.86        116        31%
b0127_b0934 :1 b0127 b0934 :2 1     b0127           b0934           3d31A/2_0_0     3d31A/2_1_1           10.0       23.9       0.82        105        25%
b0127_b2592 :1 b0127 b2592 :2 1     b0127           b2592           3c4jA/1_0_0     3c4jA/1_1_1            6.0       16.0       0.31        114        29%
b0136_b0140 :1 b0136 b0140 :2 1     b0136           b0140           3sqbA/0_0_0     3sqbA/0_1_3            6.0       12.8       0.66         69        21%
b0136_b0141 :1 b0136 b0141 :2 1     b0136           b0141           2uy6B/0_0_1     2uy6B/0_1_2            9.2       25.2       0.41         96        16%
b0136_b0289 :1 b0136 b0289 :2 1     b0136           b0289           3sqbA/0_0_0     3sqbA/0_1_3            5.4       10.7       0.66         65        12%
b0136_b0292 :1 b0136 b0292 :2 1     b0136           b0292           3sqbA/0_0_0     3sqbA/0_1_3            5.2       10.4       0.62         68        14%
b0136_b0530 :1 b0136 b0530 :2 1     b0136           b0530           2uy6B/0_0_1     2uy6B/0_1_2            9.1       25.0       0.41         96        26%
