#     Complex Template           SpringScore LenAligned  Dfire  Coverage SeqidA TMscoreA ZscoreA ProbabilityA EvauleA SeqidB TMscoreB ZscoreB ProbabilityB EvauleB
1     3ztgA/1_1_1-3ztgA/1_0_0          6.963        138 22.393     0.582  0.209    0.532   9.222 99.170       6e-10   0.181  0.391     9.523  99.140       3e-10
2     3ztgA/1_0_0-3ztgA/1_1_1          6.924        137 22.205     0.578  0.209    0.532   9.222 99.170       6e-10   0.181  0.392     9.523  99.140       3e-10
3     4aycA/1_0_0-4aycA/1_1_1          6.420        141 20.631     0.595  0.282    0.561   8.260 99.070     5.5e-09   0.220  0.486     7.018  98.810     9.6e-08
4     4aycA/1_1_1-4aycA/1_0_0          5.752        142 17.913     0.599  0.264    0.529   8.260 99.070     5.5e-09   0.276  0.441     7.018  98.810     9.6e-08
5     2f42A/1_0_0-2f42A/1_1_1          5.528        145 16.330     0.612  0.191    0.600   8.357 98.980     4.4e-09   0.165  0.426     7.959  98.810     1.1e-08
6     2f42A/1_1_1-2f42A/1_0_0          5.528        145 16.330     0.612  0.191    0.600   8.357 98.980     4.4e-09   0.165  0.426     7.959  98.810     1.1e-08
7     2vjeA/1_0_0-2vjeA/1_1_1          5.223        104 19.885     0.439  0.173    0.321   4.699 98.090       2e-05   0.150  0.188     3.854  97.620     0.00014
8     3lrqA/1_0_0-3lrqA/1_1_1          5.070        139 13.886     0.586  0.191    0.521   8.824 99.110     1.5e-09   0.157  0.438     8.260  98.950     5.5e-09
9     3lrqA/1_1_1-3lrqA/1_0_0          5.041        136 13.955     0.574  0.191    0.505   8.824 99.110     1.5e-09   0.126  0.414     8.260  98.950     5.5e-09
10    2bayE/3_1_1-2bayE/3_0_0          4.896        106 17.497     0.447  0.164    0.443   4.886 98.130     1.3e-05   0.094  0.257     4.244  97.710     5.7e-05
11    3eb5A/1_0_0-3eb5A/1_1_1          4.834        111 16.116     0.468  0.173    0.332   5.143 98.200     7.2e-06   0.118  0.319     5.032  98.090     9.3e-06
12    3eb5A/1_1_1-3eb5A/1_0_0          4.834        111 16.116     0.468  0.173    0.332   5.143 98.200     7.2e-06   0.118  0.319     5.032  98.090     9.3e-06
13    2bayE/3_0_0-2bayE/3_1_1          4.808        105 17.184     0.443  0.155    0.439   4.886 98.130     1.3e-05   0.087  0.246     4.244  97.710     5.7e-05
14    2yhnA/1_1_1-2yhnA/1_0_0          4.805        112 15.959     0.473  0.118    0.345   5.620 98.380     2.4e-06   0.126  0.305     5.229  98.150     5.9e-06
15    4auqB/1_0_1-4auqB/1_1_4          4.594        103 14.843     0.435  0.145    0.351   5.886 98.300     1.3e-06   0.134  0.266     6.119  98.320     7.6e-07
